lexeme	lang	mframe	mframe_trans	frame	tax_class	field	meaning	example	comment
острый	русский	острый_нож	нож	острый инструмент с режущим краем	физ.свойства	острый	и
острый	русский	острый_меч	меч	острый инструмент с режущим краем	физ.свойства	острый	и
острый	русский	острый_сабля	сабля	острый инструмент с режущим краем	физ.свойства	острый	и
острый	русский	острый_лезвие	лезвие	острый инструмент с режущим краем	физ.свойства	острый	и
острый	русский	острый_коса	коса	острый инструмент с режущим краем	физ.свойства	острый	и
острый	русский	острый_ножницы	ножницы	острый инструмент с режущим краем	физ.свойства	острый	и
острый	русский	острый_пила	пила	острый инструмент с режущим краем	физ.свойства	острый	и
острый	русский	острый_иголка	иголка	острый инструмент с колющим концом	физ.свойства	острый	и
острый	русский	острый_стрела	стрела	острый инструмент с колющим концом	физ.свойства	острый	и
острый	русский	острый_коготь	коготь	острый инструмент с колющим концом	физ.свойства	острый	и
острый	русский	острый_кол	кол	острый инструмент с колющим концом	физ.свойства	острый	и
острый	русский	острый_спица	спица	острый инструмент с колющим концом	физ.свойства	острый	и
острый	русский	острый_палка	палка	острый инструмент с колющим концом	физ.свойства	острый	и
острый	русский	острый_копье	копье	острый инструмент с колющим концом	физ.свойства	острый	и
острый	русский	острый_зуб	зуб	острый инструмент с колющим концом	физ.свойства	острый	и
острый	русский	острый_ноготь	ноготь	острый инструмент с колющим концом	физ.свойства	острый	и
острый	русский	острый_рог	рог	острый инструмент с колющим концом	физ.свойства	острый	и
острый	русский	острый_нос	нос	предмет, суживающийся к концу	физ.свойства: форма	острый	и
острый	русский	острый_угол	угол	геометрическая форма	физ.свойства: форма	острый	и
острый	русский	острый_носок	носок ботинка	предмет, суживающийся к концу	физ.свойства: форма	острый	и
острый	русский	острый_гора	гора	предмет, суживающийся к концу	физ.свойства: форма	острый	и
острый	русский	острый_локоть	локоть	предмет, суживающийся к концу	физ.свойства: форма	острый	и
острый	русский	острый_клюв	клюв	предмет, суживающийся к концу	физ.свойства: форма	острый	и
острый	русский	острый_колпак	колпак	предмет, суживающийся к концу	физ.свойства: форма	острый	и
острый	русский	острый_подбородок	подбородок	предмет, суживающийся к концу	физ.свойства: форма	острый	и
острый	русский	острый_каблук	каблук	предмет, суживающийся к концу	физ.свойства: форма	острый	и
острый	русский	острый_мачта	мачта	предмет, суживающийся к концу	физ.свойства: форма	острый	и
острый	русский	острый_шип	шип	колющаяся поверхность/колющийся предмет	физ.свойства	острый	и
-острый	русский	колючий_одеяло	одеяло	колющаяся поверхность/колющийся предмет	физ.свойства	острый	и
-острый	русский	колючий_щетина	щетина	колющаяся поверхность/колющийся предмет	физ.свойства	острый	и
-острый	русский	колючий_шерсть	шерсть	колющаяся поверхность/колющийся предмет	физ.свойства	острый	и
-острый	русский	колючий_куст	куст	колющаяся поверхность/колющийся предмет	физ.свойства	острый	и
-острый	русский	колючий_свитер	свитер	колющаяся поверхность/колющийся предмет	физ.свойства	острый	и
-острый	русский	крутой_поворот	поворот	полоса, резко меняющая направление	физ.свойства: форма	острый	п
-острый	русский	крутой_изгиб	изгиб	полоса, резко меняющая направление	физ.свойства: форма	острый	п
-острый	русский	крутой_излучина	излучина реки	полоса, резко меняющая направление	физ.свойства: форма	острый	п
-острый	русский	крутой_подъем	подъем	отвесный, обрывистый, крутой склон	физ.свойства: форма	острый	п
-острый	русский	крутой_склон	склон	отвесный, обрывистый, крутой склон	физ.свойства: форма	острый	п
-острый	русский	крутой_берег	берег	отвесный, обрывистый, крутой склон	физ.свойства: форма	острый	п
-острый	русский	крутой_гора	гора	отвесный, обрывистый, крутой склон	физ.свойства: форма	острый	п
-острый	русский	четкий_линия	линия	четкая линия/изображение с четкими линиями		острый	п
-острый	русский	четкий_фотография	фотография	четкая линия/изображение с четкими линиями		острый	п
